lambda_mic,gal1_dust,egal1_dust,gal2_dust,egal2_dust,gal3_dust,egal3_dust,gal4_dust,egal4_dust,gal5_dust,egal5_dust,gal6_dust,egal6_dust,gal7_dust,egal7_dust,gal_PAH,egal_PAH,AGN_A,AGN_B,AGN_Siem,eAGN_A_up,eAGN_A_down,eAGN_B_up,eAGN_B_down,eAGN_Siem_up,eAGN_Siem_down
498.8844874600157,0.018322522074892232,0.0016578896314346887,0.01190612325607905,0.0011411058008542873,0.008813006400192447,0.0007530993761283637,0.0057433320659442426,0.0006690103274798794,0.003917880619553091,0.00040916518396947346,0.0029238872528127395,9.142624203314015e-05,0.0015315373972541071,0.00034698153814239464,1.1375373028164675e-05,2.2513608422659758e-06,9.552722028189818e-06,1.910305752122552e-05,8.512873171815399e-05,1.0318364798554703e-05,4.8318249808939065e-06,1.7230609927772377e-05,9.87961494474673e-06,0.0002556073281149039,0.0004091476596644009
500.03453497698234,0.01815512089166405,0.0016437921383958762,0.011794364385154276,0.0011310145130118876,0.008728942492699645,0.0007462365588279088,0.005687475613972278,0.0006627723937603166,0.003879197771837935,0.0004052716564515155,0.0028947247533884363,9.054223134560274e-05,0.0015159863598331036,0.00034355413530770605,1.124619994421514e-05,2.226495211333346e-06,9.45425126988097e-06,1.8906140609238813e-05,8.493288406466898e-05,1.0212001714980596e-05,4.782017865218247e-06,1.705299445039115e-05,9.777774533161357e-06,0.00025501946128842515,0.0004082066273721713
501.18723362727616,0.017997239963521715,0.0016304540138348395,0.011689084579749091,0.0011214827368500463,0.0086498081338219,0.0007397626569094161,0.0056349403697287855,0.0006568939276047494,0.0038428400116718897,0.00040160583504429015,0.002867327910010045,8.971052519070965e-05,0.0015013891258474474,0.00034033270458146164,1.1124415423896248e-05,2.2030175502139006e-06,9.356795561532264e-06,1.8711253543433577e-05,8.473748763040716e-05,1.0106735035853588e-05,4.732724168213314e-06,1.687720985765776e-05,9.676983906282854e-06,0.00025443294632995604,0.000407267759651934
502.3425895223908,0.017850931916293312,0.0016180393343391288,0.011591679742407641,0.0011126312261055817,0.008576664928627447,0.0007337615343925343,0.005586441204594872,0.0006514523932990222,0.0038093076023177296,0.0003982167624292733,0.0028420765186241816,8.894238388069092e-05,0.0014879507645329973,0.00033736156298387203,1.101161213508272e-05,2.1812273311537645e-06,9.260344439871098e-06,1.851837539988332e-05,8.454254136686202e-05,1.0002553459306532e-05,4.683938597486194e-06,1.6703237276560547e-05,9.577232242790901e-06,0.000253847780132868,0.0004063310515217745
503.50060878790885,0.017704286594183282,0.0016055960360515144,0.011494050363726136,0.0011037593105214982,0.008503353110931209,0.0007277465778595139,0.005537830237338729,0.0006459983149612096,0.0037756978927766696,0.0003948198771950145,0.0028167669167693645,8.817247182207483e-05,0.0014744814245963352,0.0003343835721975357,1.0898548807832463e-05,2.1593868804509157e-06,9.164887549481678e-06,1.8327485470348105e-05,8.434804422808564e-05,9.899445799972868e-06,4.635655915198761e-06,1.653105802863333e-05,9.478508832912768e-06,0.0002532639595976421,0.0004053964980112846
504.66129756353234,0.017557303219692826,0.0015931240529988779,0.011396195926083413,0.00109486694305979,0.008429872292041287,0.0007217177554196591,0.005489107210229882,0.0006405316636743347,0.003742010704853401,0.0003914151613315686,0.002791398970256625,8.740078493286485e-05,0.0014609810346243722,0.00033139871643344415,1.0785224842695061e-05,2.1374960823094773e-06,9.070414641693325e-06,1.813856326005143e-05,8.415399517068133e-05,9.79740098778597e-06,4.587870937505354e-06,1.6360653627950402e-05,9.380803077273498e-06,0.0002526814816318538,0.000404464094161537
505.8246620031179,0.017409981013530675,0.001580623319056001,0.01129811591066494,0.0010859540765740061,0.008356222082369667,0.0007156750351087509,0.005440271864943671,0.0006350524104547548,0.003708245859941793,0.00038800259678746984,0.0027659725445876265,8.662731912165367e-05,0.0014474495230393793,0.0003284069798661882,1.067163963883808e-05,2.1155548206666057e-06,8.976915573479957e-06,1.795158848547943e-05,8.396039315379495e-05,9.69640806679035e-06,4.540578533996138e-06,1.619200577914149e-05,9.28410448575775e-06,0.0002521003431501559,0.0004035338350250553
506.9907082747081,0.017262319194609167,0.001568093767945238,0.011199809797460249,0.001077020663809016,0.008282402091430266,0.0007096183848888883,0.0053913239425599615,0.0006295605262520148,0.0036744031790240032,0.0003845821654696408,0.002740487504953992,8.585207028760258e-05,0.0014338868180986295,0.00032540834663387846,1.0557792594044088e-05,2.093562979191921e-06,8.884380306371193e-06,1.7766541072203422e-05,8.376723713910777e-05,9.596456193965537e-06,4.493773627146325e-06,1.6025096375427576e-05,9.188402676383666e-06,0.0002515205410742635,0.0004026057156657896
508.1594425605641,0.017114316980040033,0.0015555353332361555,0.01110127706526011,0.001068066657400755,0.008208411927836844,0.0007035477726483141,0.0053422631835617395,0.000624055981948691,0.0036404824826695033,0.0003811538492432951,0.002714943716236577,8.507503432041933e-05,0.0014202928478940116,0.00032240280083806,1.044368310470738e-05,2.071520441286865e-06,8.79279890537456e-06,1.7583401152724534e-05,8.35745260908283e-05,9.497534638061938e-06,4.447451191771019e-06,1.5859907496676938e-05,9.093687374188175e-06,0.00025094207233293796,0.0004016797311590875
509.3308710571994,0.01696597358513019,0.0015429479483451776,0.011002517191653738,0.0010590920098759676,0.00813425119930088,0.0006974631662012442,0.005293089327833723,0.0006185387483602354,0.003606483591034122,0.0003777176299318398,0.0026893410430047448,8.429620710033633e-05,0.0014066675403516412,0.0003193903265436268,1.0329310565830755e-05,2.0494270900840863e-06,8.702161537908776e-06,1.7402149064340648e-05,8.338225897568474e-05,9.399632778448642e-06,4.40160625448565e-06,1.5696421407480922e-05,8.99994841012384e-06,0.00025036493386197125,0.00040075587659166897
