lambda_mic,tau
2.110000000000001,1.3508175430156815
2.120000000000001,1.3400034170393802
2.130000000000001,1.3293261462380697
2.140000000000001,1.3187833683075372
2.1500000000000012,1.308372772500462
2.160000000000001,1.2980920982681046
2.170000000000001,1.2879391339438582
2.180000000000001,1.2779117154672053
2.1900000000000013,1.2680077251466428
2.200000000000001,1.2582250904602277
2.210000000000001,1.2485617828924178
2.220000000000001,1.2390158168059768
2.2300000000000013,1.229585248347705
2.240000000000001,1.2202681743868593
2.250000000000001,1.2110627314851277
2.260000000000001,1.2019670948970989
2.2700000000000014,1.192979477600186
2.280000000000001,1.1840981293530066
2.290000000000001,1.1753213357812846
2.300000000000001,1.1666474174903196
2.3100000000000014,1.1580747292031823
2.320000000000001,1.1496016589237388
2.330000000000001,1.1412266271237237
2.340000000000001,1.1329480859530396
2.3500000000000014,1.1247645184725539
2.360000000000001,1.1166744379086286
2.370000000000001,1.1086763869287033
2.3800000000000012,1.1007689369372347
2.3900000000000015,1.0929506873913555
2.4000000000000012,1.0852202651355947
2.410000000000001,1.0775763237550802
2.4200000000000013,1.0700175429466097
2.4300000000000015,1.0625426279070522
2.4400000000000013,1.0551503087385086
2.450000000000001,1.047839339869716
2.4600000000000013,1.0406084994931948
2.4700000000000015,1.0334565890176386
2.4800000000000013,1.026382432535075
2.490000000000001,1.0193848763023468
2.5000000000000013,1.0124627882364692
2.5100000000000016,1.005615057423439
2.5200000000000014,0.9988405936400866
2.530000000000001,0.9921383268885675
2.5400000000000014,0.9855072069431242
2.5500000000000016,0.9789462029087328
2.5600000000000014,0.9724543027912916
2.570000000000001,0.9660305130789919
2.5800000000000014,0.9596738583345559
2.5900000000000016,0.9533833807979978
2.6000000000000014,0.947158139999616
2.610000000000001,0.9409972123829013
2.6200000000000014,0.9348996909370801
2.6300000000000017,0.9288646848390024
2.6400000000000015,0.9228913191041077
2.6500000000000012,0.9169787342462061
2.6600000000000015,0.9111260859458133
2.6700000000000017,0.905332544726802
2.6800000000000015,0.8995972956411235
2.6900000000000013,0.8939195379613732
2.7000000000000015,0.8882984848809741
2.7100000000000017,0.8827333632217663
2.7200000000000015,0.8772234131487856
2.7300000000000013,0.8717678878920389
2.7400000000000015,0.8663660534750655
2.7500000000000018,0.8610171884501154
2.7600000000000016,0.8557205836397378
2.7700000000000014,0.8504755418846172
2.7800000000000016,0.8452813777974785
2.790000000000002,0.8401374175228952
2.8000000000000016,0.8350429985028371
2.8100000000000014,0.8299974692478002
2.8200000000000016,0.8250001891133721
2.830000000000002,0.8200505280820752
2.8400000000000016,0.8151478665503553
2.8500000000000014,0.810291595120568
2.8600000000000017,0.8054811143978354
2.870000000000002,0.8007158347916384
2.8800000000000017,0.7959951763220183
2.8900000000000015,0.7913185684302679
2.9000000000000017,0.7866854497939902
2.910000000000002,0.7820952681464102
2.9200000000000017,0.7775474800998293
2.9300000000000015,0.7730415509731092
2.9400000000000017,0.7685769546230871
2.950000000000002,0.7641531732798109
2.9600000000000017,0.7597696973855042
2.9700000000000015,0.7554260254371549
2.9800000000000018,0.7511216638326447
2.990000000000002,0.7468561267203192
3.0000000000000018,0.7426289358519141
3.0100000000000016,0.7384396204387529
3.020000000000002,0.7342877170111299
3.030000000000002,0.730172769280802
3.040000000000002,0.726094328006506
3.0500000000000016,0.7220519508624246
3.060000000000002,0.7180452023095351
3.070000000000002,0.7140736534697583
3.080000000000002,0.7101368820028453
3.0900000000000016,0.706234471985927
3.100000000000002,0.7023660137956693
3.110000000000002,0.6985311039929609
3.120000000000002,0.6947293452100779
3.1300000000000017,0.6909603460402566
3.140000000000002,0.6872237209296259
3.150000000000002,0.6835190900714335
3.160000000000002,0.6798460793025121
3.1700000000000017,0.6762043200019315
3.180000000000002,0.6725934489917871
3.190000000000002,0.669013108440067
3.200000000000002,0.665462945765553
3.2100000000000017,0.6619426135447033
3.220000000000002,0.6584517694204718
3.230000000000002,0.6549900760130181
3.240000000000002,0.6515572008322612
3.2500000000000018,0.6481528161922341
