ID,BAT_NAME,CTP_NAME,RA_hms,Dec_dms,z,logLx,Type,logNH,F70_mJy,eF70_mJy,F70_flag,F100_mJy,eF100_mJy,F100_flag,F160_mJy,eF160_mJy,F160_flag,F250_mJy,eF250_mJy,F250_flag,F350_mJy,eF350_mJy,F350_flag,F500_mJy,eF500_mJy,F500_flag
63,SWIFT J0945.6-1420,NGC2992,09:45:42.048,-14:19:35.040,0.007,42.6,Sy1.9,21.72,7584.4,228.99,Ext.,10582.98,319.49,Ext.,9634.67,291.7,Ext.,4607.98,145.56,Ext.,2074.97,73.57,Ext.,722.68,37.74,Ext.
64,SWIFT J1001.7+5543,NGC3079,10:01:57.792,+55:40:47.280,0.003,42.0,Sy2,24.56,62787.22,1892.78,Ext.,104497.33,3137.39,Ext.,104713.92,3148.61,Ext.,48766.07,1465.82,Ext.,20556.37,620.9,Ext.,7304.8,225.69,Ext.
65,SWIFT J0959.5-2248,NGC3081,09:59:29.544,-22:49:34.680,0.008,43.0,Sy2,23.91,2657.71,96.28,Ext.,3926.73,132.9,Ext.,4253.1,154.34,Ext.,2060.92,71.64,Ext.,1154.4,55.33,Ext.,468.16,37.22,Ext.
66,SWIFT J1023.5+1952,NGC3227,10:23:30.576,+19:51:54.360,0.003,42.5,Sy1.5,20.95,10408.74,360.41,Ext.,16031.66,517.7,Ext.,21636.26,657.78,Ext.,11198.84,340.06,Ext.,4744.5,152.88,Ext.,1541.02,59.88,Ext.
67,SWIFT J1048.4-2511,NGC3393,10:48:23.448,-25:09:43.560,0.012,42.9,Sy2,24.4,2648.4,148.85,Ext.,0.0,0.0,N/A,3912.02,194.72,Ext.,2631.75,94.94,Ext.,1167.9,52.67,Ext.,415.31,33.51,Ext.
68,SWIFT J1139.8+3157,NGC3786,11:39:42.480,+31:54:32.400,0.008,42.4,Sy1.9,22.36,2176.33,75.38,Ext.,0.0,0.0,N/A,3263.88,123.76,Ext.,1819.63,136.25,Ext.,845.57,104.59,Ext.,296.5,42.85,Ext.
69,SWIFT J1206.2+5243,NGC4102,12:06:23.112,+52:42:39.240,0.002,41.7,Sy2,24.14,54423.17,990.29,HPDP,0.0,0.0,N/A,48356.71,1452.97,Ext.,19407.24,583.57,Ext.,7815.3,186.2,HPDP,2218.63,70.65,Ext.
70,SWIFT J1210.5+3924,NGC4151,12:10:32.568,+39:24:20.520,0.003,43.1,Sy1.5,22.71,6372.21,214.02,Ext.,6386.47,255.3,Ext.,8258.02,267.44,Ext.,4183.73,147.02,Ext.,1717.09,73.39,Ext.,561.39,40.73,Ext.
71,SWIFT J1219.4+4720,NGC4258,12:18:57.504,+47:18:14.400,0.001,41.1,Sy1.9,23.0,32032.0,1003.22,Ext.,36930.02,1158.89,Ext.,68761.55,2095.53,Ext.,73721.28,2228.86,Ext.,38636.37,1180.41,Ext.,16519.72,539.66,Ext.
72,SWIFT J1225.8+1240,NGC4388,12:25:46.752,+12:39:43.560,0.008,43.6,Sy2,23.52,10547.4,322.74,Ext.,19050.13,585.71,Ext.,17241.83,523.61,Ext.,7454.24,226.48,Ext.,3333.87,122.7,Ext.,1465.47,73.07,Ext.
