lambdamic,fluxJy,efluxJy
9.20918,0.49347240576373463,0.0066244908221784835
9.26966,0.49429572400180194,0.00755805611951814
9.33015,0.4942466317341905,0.005674829571436421
9.39063,0.49595361078926414,0.005765369309324964
9.45111,0.498637321418691,0.008812534487818303
9.5116,0.5048209016265853,0.015603014829459116
9.57208,0.5088904460604607,0.015861556080985294
9.63256,0.5156038136563288,0.008106324532287656
9.69305,0.5191732306139125,0.00735383871072509
9.75353,0.5399474418581648,0.005627547708316847
9.81401,0.5391711703765584,0.009101255651973993
9.8745,0.5363320008996952,0.011973377337216144
9.93498,0.5390883271749639,0.013732866243516854
9.99547,0.5436487942849543,0.007317622815569673
10.05595,0.5594974146788559,0.008226038185718066
10.11643,0.5804751542825807,0.0460887505736196
10.17692,0.5892821025409627,0.03533866569498645
10.2374,0.5995301134048564,0.009705859901651938
